Problem:                                baa99-256
First Stage Rows:                       1
First Stage Columns:                    256
First Stage Non-zeros:                  0
Replication No. 0
Status:                                 REPLICATION SOLUTION
Total Objective Function Upper Bound:   
Total Objective Function Lower Bound:   -6132432.891300

First Stage Solutions:
   No.   Row name   Activity      Lower bound   Upper bound   Dual          Dual STDEV
------ ------------ ------------- ------------- ------------- ------------- -------------
     0 obj           5.142913e+25 

   No. Column name  Activity      Lower bound   Upper bound   Reduced Cost  RC STDEV
------ ------------ ------------- ------------- ------------- ------------- -------------
     1 x1            2.170000e+02  0.000000e+00  2.170000e+02 -1.918608e+00 
    78 x78           7.529695e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    79 x79           9.219838e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    80 x80           8.854835e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    81 x81           1.086950e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    82 x82           1.032816e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    83 x83           9.545211e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    84 x84           1.149687e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    85 x85           1.323371e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    86 x86           7.324541e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    87 x87           8.770026e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    88 x88           1.038458e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    89 x89           1.138112e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    90 x90           9.528293e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    91 x91           1.070252e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    92 x92           6.553457e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    93 x93           7.506769e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    94 x94           9.083699e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    95 x95           9.267856e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    96 x96           1.040958e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    97 x97           1.186345e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    98 x98           1.263820e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    99 x99           1.198228e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   100 x100          1.270285e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   101 x101          1.436111e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   102 x102          9.502225e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   103 x103          1.147967e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   104 x104          1.071810e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   105 x105          1.266562e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   106 x106          9.155974e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   107 x107          1.078581e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   108 x108          1.257066e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   109 x109          8.299052e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   110 x110          5.840507e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   111 x111          7.578803e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   112 x112          8.832874e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   113 x113          1.018650e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   114 x114          9.659646e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   115 x115          8.451839e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   116 x116          1.019221e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   117 x117          1.043216e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   118 x118          1.220030e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   119 x119          7.485058e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   120 x120          9.365428e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   121 x121          8.070712e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   122 x122          9.851542e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   123 x123          9.770958e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   124 x124          1.131587e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   125 x125          1.098069e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   126 x126          1.025227e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   127 x127          1.202776e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   128 x128          9.706557e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   129 x129          1.090829e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   130 x130          1.151639e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   131 x131          9.590562e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   132 x132          8.480136e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   133 x133          9.037196e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   134 x134          9.660289e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   135 x135          8.735591e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   136 x136          9.763032e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   137 x137          7.678408e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   138 x138          9.386686e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   139 x139          8.992252e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   140 x140          1.088751e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   141 x141          1.228182e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   142 x142          1.142343e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   143 x143          1.061724e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   144 x144          1.045458e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   145 x145          9.043061e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   146 x146          8.828462e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   147 x147          8.692756e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   148 x148          9.973339e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   149 x149          1.047348e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   150 x150          9.867128e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   151 x151          1.096601e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   152 x152          9.791737e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   153 x153          1.117808e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   154 x154          6.222926e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   155 x155          7.838817e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   156 x156          9.306218e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   157 x157          1.048599e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   158 x158          1.066671e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   159 x159          1.208686e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   160 x160          1.356979e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   161 x161          1.358802e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   162 x162          1.397518e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   163 x163          1.555148e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   164 x164          1.611842e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   165 x165          3.755032e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   166 x166          4.823646e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   167 x167          6.432196e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   168 x168          8.105741e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   169 x169          9.334668e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   170 x170          8.330610e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   171 x171          9.450768e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   172 x172          1.096399e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   173 x173          7.954086e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   174 x174          9.387022e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   175 x175          7.806923e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   176 x176          7.396303e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   177 x177          8.989034e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   178 x178          1.031448e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   179 x179          1.068625e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   180 x180          1.153825e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   181 x181          1.220216e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   182 x182          1.119064e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   183 x183          1.225064e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   184 x184          1.211426e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   185 x185          7.825936e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   186 x186          9.541444e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   187 x187          5.040629e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   188 x188          6.126614e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   189 x189          7.995073e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   190 x190          7.708290e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   191 x191          8.338329e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   192 x192          9.580504e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   193 x193          1.062178e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   194 x194          1.133500e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   195 x195          1.113551e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   196 x196          1.153843e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   197 x197          1.292357e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   198 x198          1.194055e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   199 x199          7.688088e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   200 x200          8.964699e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   201 x201          9.936877e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   202 x202          8.177834e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   203 x203          9.826799e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   204 x204          1.056817e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   205 x205          7.074349e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   206 x206          8.488217e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   207 x207          8.226121e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   208 x208          8.770808e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   209 x209          8.118283e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   210 x210          9.319344e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   211 x211          1.056769e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   212 x212          9.343543e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   213 x213          1.039204e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   214 x214          1.024162e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   215 x215          1.075520e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   216 x216          1.197932e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   217 x217          9.077978e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   218 x218          1.050072e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   219 x219          1.171345e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   220 x220          1.256455e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   221 x221          6.194821e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   222 x222          7.258733e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   223 x223          8.344025e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   224 x224          8.832060e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   225 x225          9.762264e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   226 x226          9.425238e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   227 x227          9.636010e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   228 x228          1.012857e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   229 x229          1.099177e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   230 x230          8.463722e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   231 x231          7.499996e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   232 x232          8.387755e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   233 x233          8.990425e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   234 x234          9.744649e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   235 x235          8.263923e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   236 x236          8.732450e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   237 x237          9.089134e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   238 x238          9.604079e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   239 x239          8.732108e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   240 x240          8.462496e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   241 x241          9.100261e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   242 x242          9.055641e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   243 x243          9.368037e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   244 x244          9.938680e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   245 x245          1.005572e+02  0.000000e+00  2.170000e+02  0.000000e+00 
   246 x246          9.901655e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   247 x247          9.901919e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   248 x248          8.442941e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   249 x249          8.636027e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   250 x250          8.331581e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   251 x251          8.529568e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   252 x252          8.589672e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   253 x253          8.982160e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   254 x254          9.388467e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   255 x255          9.121104e+01  0.000000e+00  2.170000e+02  0.000000e+00 
   256 x256          9.002335e+01  0.000000e+00  2.170000e+02  0.000000e+00 


Problem:                                baa99-256
First Stage Rows:                       1
First Stage Columns:                    256
First Stage Non-zeros:                  0
Replication No. 1
Status:                                 REPLICATION SOLUTION
Total Objective Function Upper Bound:   
Total Objective Function Lower Bound:   -6143851.395262

First Stage Solutions:
   No.   Row name   Activity      Lower bound   Upper bound   Dual          Dual STDEV
------ ------------ ------------- ------------- ------------- ------------- -------------
     0 obj           0.000000e+00 

   No. Column name  Activity      Lower bound   Upper bound   Reduced Cost  RC STDEV
------ ------------ ------------- ------------- ------------- ------------- -------------
     1 x1            2.169990e+02  0.000000e+00  2.170000e+02 -1.792935e+00 
     2 x2            1.790338e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     3 x3            1.380390e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     4 x4            1.290607e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     5 x5            1.398712e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     6 x6            1.182091e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     7 x7            1.060303e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     8 x8            1.166704e+02  0.000000e+00  2.170000e+02  0.000000e+00 
     9 x9            1.290450e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    10 x10           1.170888e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    11 x11           1.041579e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    12 x12           1.172042e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    13 x13           1.325822e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    14 x14           1.335600e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    15 x15           1.470632e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    16 x16           8.262572e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    17 x17           9.740564e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    18 x18           9.148763e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    19 x19           8.308408e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    20 x20           9.476681e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    21 x21           1.031551e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    22 x22           8.588627e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    23 x23           9.427003e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    24 x24           1.060788e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    25 x25           1.205849e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    26 x26           9.332681e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    27 x27           1.000160e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    28 x28           9.796729e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    29 x29           1.038389e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    30 x30           1.151164e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    31 x31           1.202413e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    32 x32           1.272714e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    33 x33           1.159384e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    34 x34           8.623600e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    35 x35           9.768111e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    36 x36           1.072887e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    37 x37           1.218792e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    38 x38           1.002555e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    39 x39           9.665422e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    40 x40           1.081626e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    41 x41           1.170038e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    42 x42           9.058722e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    43 x43           9.673619e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    44 x44           1.051768e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    45 x45           1.135587e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    46 x46           1.281352e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    47 x47           1.428222e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    48 x48           1.010060e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    49 x49           1.146523e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    50 x50           1.107863e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    51 x51           1.039976e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    52 x52           1.171204e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    53 x53           9.920116e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    54 x54           1.091315e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    55 x55           1.057751e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    56 x56           9.966540e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    57 x57           1.103069e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    58 x58           1.136112e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    59 x59           1.078480e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    60 x60           1.135563e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    61 x61           9.405539e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    62 x62           1.011170e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    63 x63           1.051480e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    64 x64           1.204285e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    65 x65           1.158160e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    66 x66           7.087320e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    67 x67           8.150083e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    68 x68           7.796524e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    69 x69           9.318044e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    70 x70           1.018634e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    71 x71           8.145447e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    72 x72           9.098859e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    73 x73           1.010365e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    74 x74           1.058035e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    75 x75           1.066154e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    76 x76           1.196307e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    77 x77           1.056377e+02  0.000000e+00  2.170000e+02  0.000000e+00 
    78 x78           8.938337e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    79 x79           8.244907e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    80 x80           9.688719e+01  0.000000e+00  2.170000e+02  0.000000e+00 
    81 x81           1.092319e+02  0.000000e+00  2.170000e+02  0.000000e+00 
